tipo_inmueble,finalidad,estado_inmueble,ubicacion_principal,ubicacion_asociada,area,habitaciones,baños,precio,estrato,antigüedad,administración,comodidades,descripcion,contacto,codigo,vendedor,link_venta,link_image,error
Finca,venta,Usado,"Tunja, Boyaca","Mesopotamia, Tunja, Villa olimpica",43.00  m2 m²,¡Pregúntale!,1,$239.000.000,4,1 a 8 años,,", Amoblado, , Ascensor, , Citófono, , Sobre vía principal, , Trans. Público cercano, , Vista panorámica, , Zona Comercial, Descripción, Atos Inmobiliaria Vende Oficina Amoblada en Edificio Ananda",Atos Inmobiliaria Vende Oficina Amoblada en Edificio Ananda,Código Fincaraíz:,191272846,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/oficina-en-venta/191272846,,
Lote,venta,Usado,"Tunja, Boyaca","Tunja, Centro historico",200.00  m2 m²,¡Pregúntale!,¡Pregúntale!,$170.000.000,3,16 a 30 años,,,"LOTES EN EL NORTE DE TUNJA,  ZONA INDUSTRIAL PARA BODEGA CON 200 METROS , 10 POR 20.",,191273948,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/lote-en-venta/191273948,,
Apartamento,venta,Usado,"Tunja, Boyaca","Tunja, Altagracia",74.00  m2 m²,2,2,$350.000.000,5,16 a 30 años,2 Habs.,", Ascensor, , Balcón, , Canchas Deportivas, , Cerca centro comercial, , Citófono, , Closet, , Gimnasio, , Instalación de gas, , Piscina, , Salón Comunal, , Trans. Público cercano, , Vista panorámica","¡Vive en el norte de Tunja como siempre lo soñaste! Atos Inmobiliaria te ofrece un espectacular apartamento en el exclusivo sector Lombardía, una zona tranquila, segura y de alta valorización. A pasos de la Universidad Santo Tomás, clínicas, colegios, supermercados y los centros comerciales Unicentro y Viva. Todo lo que necesitas, ¡a tu alcance! Disfruta de espacios amplios y acogedores: dos habitaciones, dos baños, sala-comedor, cocina integral, zona de ropas y dos terrazas cubiertas con vista increíble. Además, cuenta con su propio parqueadero y deposito para mayor comodidad. Edificio con piscina, gimnasio, squash, salón social, ascensor, vigilancia 24/7, parqueadero privado, depósito y más. ¡Una oportunidad única para vivir o invertir! Agenda tu cita y contáctanos ya.",Código Fincaraíz:,192258439,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/apartamento-en-venta-en-tunja/192258439,,
Apartamento,venta,Usado,"Tunja, Tunja, Boyaca","Tunja, Los patriotas",58.00  m2 m²,3,2,$168.000.000,3,9 a 15 años,,", Cocina Integral, , En conjunto cerrado, , Instalación de gas, , Parques cercanos, , Piso en Baldosa /  Mármol, , Portería / Recepción, , Trans. Público cercano, , Vivienda Multifamiliar, Descripción, En Venta lindo y acogedor apartamento ubicado en un tercer piso del conjunto Arboretos Guayacán, este apartamento consta de tres alcobas con closet, dos baños, sala comedor, cocina integral y zona de ropas., Código Fincaraíz:, 192319152, Consultar, Inmobiliaria Eskala, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","En Venta lindo y acogedor apartamento ubicado en un tercer piso del conjunto Arboretos Guayacán, este apartamento consta de tres alcobas con closet, dos baños, sala comedor, cocina integral y zona de ropas.",,192319152,Inmobiliaria Eskala,https://www.fincaraiz.com.co/apartamento-en-venta/192319152,,
Casa,venta,Usado,"Tunja, Tunja, Boyaca","Tunja, Ub. las quintas",107.00  m2 m²,4,3,$480.000.000,5,9 a 15 años,,", Balcón, , Baño Auxiliar, , Calentador, , Canchas Deportivas, , Cocina Integral, , Colegios / Universidades, , Parques cercanos, , Patio, , Supermercados / C.Comerciales, , Trans. Público cercano, , Vivienda Bifamiliar, , Zona Comercial","EXCELENTE UBICACIÓN en Tunja, cerca a la  Avenida universitaria Barrio Las Quintas. Estrato 5 . Zona de valorización.",,10968529,ENTORNO URBANO,https://www.fincaraiz.com.co/casa-en-venta/10968529,,
Casa,venta,Usado,"Tunja, Boyaca","Tunja, Los muiscas, Asis",131.00  m2 m²,3,3,$450.000.000,4,menor a 1 año,,,"Atos Inmobiliaria tiene disponible para la venta una casa para estrenar de 131 m2, situada en una ubicación privilegiada al norte de la ciudad de Tunja, en el barrio Suamox. Esta moderna propiedad ofrece un diseño funcional y espacios bien distribuidos para brindar comodidad y funcionalidad.",,191273208,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta/191273208,,
Casa,venta,Usado,"Tunja, Boyaca","Tunja, Los muiscas, Cr. parques del nogal",74.00  m2 m²,3,2,$270.000.000,4,1 a 8 años,3 Habs.,", Acceso Pavimentado, , Ascensor, , Balcón, , Baño Auxiliar, , Baño Independiente, , Calentador, , Gimnasio, , Hall de Alcobas, , Instalación de gas, , Parques cercanos, , Piso en Baldosa /  Mármol, , Portería / Recepción","Imagina llegar a casa después de un día ajetreado, entrando en un lugar que no solo te ofrece comodidad, sino también tranquilidad y seguridad para ti y los tuyos. Este apartamento en el norte de Tunja es el lugar perfecto para tu familia. Disfruta de la luz natural ? que llena de calidez cada rincón y de una vista panorámica del norte de Tunja.",,192055253,INMOBILIARIA LOS LANCEROS,https://www.fincaraiz.com.co/apartamento-en-venta/192055253,,
Finca,,Nuevo,,,,,,$,,,,,,,,,https://www.fincaraiz.com.co/lote-en-venta/191869350,,
Casa,venta,Usado,"Tunja, Boyaca","Tunja, Maldonado, Ub. el recreo",228.00  m2 m²,4,4,$650.000.000,4,más de 30 años,,,"Casa con área plana de 107 m2 y área construida de 228 m2 tiene 6 niveles distribuidos de la siguiente manera: primer piso o nivel inferior garaje, patio con marquesina y deposito. segundo nivel: 2 habitaciones, un baño, un deposito. Tercer Nivel: cocina, comedor y patio de ropas. Cuarto Nivel: sala, entrada principal, estudio y chimenea. Quinto Nivel: 2 habitaciones, 1 baño privado, 1 baño social. Sexto Nivel: Altillo,  sala de star o de televisión, y habitación, 1 un baño.",,191627179,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta/191627179,,
Casa,venta,Usado,"Ub. parque de lidueña, Tunja, Boyaca","Ub. parque de lidueña, Tunja, Bellavista",120.00  m2 m²,3,2,$450.000.000,4,¡Pregúntale!,,,"Vendo casa comercial Central,  al lado del parque santander,  consta de sala,  comedor,  cocina,  tres alcobas,  dos baños.",,7835933,Inmobiliaria Fenix,https://www.fincaraiz.com.co/casa-en-venta/7835933,,
Casa,venta,Usado,"Tunja, Boyaca","San jose 000050, Tunja, Maldonado",203.00  m2 m²,4,4,$430.000.000,4,16 a 30 años,,", Canchas Deportivas, , Cerca centro comercial, , Closet, , Piso de alta resistencia, , Trans. Público cercano, , Zona Comercial, , Zona Residencial, Descripción, Atos Inmobiliaria Vende Casa en el Centro de Tunja",Atos Inmobiliaria Vende Casa en el Centro de Tunja,Código Fincaraíz:,191482380,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta/191482380,,
Apartamento,venta,Usado,"Tunja, Tunja, Boyaca","Tunja, Maldonado",76.00  m2 m²,3,2,$265.000.000,4,9 a 15 años,,,"Hermoso apartamento cerca al centro y hospital san Rafael ubicado en un 3 piso, que consta de sala comedor, cocina integral, zona de ropas con calentador, 3 habitaciones con closet y dos baños, parqueadero cubierto. Todos los servicios, encortinado, portería biométrica",,191274075,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/apartamento-en-venta/191274075,,
Casa,venta,Usado,"Tunja, Boyaca","Tunja, Ub. alcala real, Coeducadores",130.00  m2 m²,3,2,$335.000.000,4,16 a 30 años,,,Atos Inmobiliaria Vende Casa en Conjunto Cerrado al Norte de Tunja,Código Fincaraíz:,191579336,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta/191579336,,
Casa,venta,Usado,"Centro, Tunja, Boyaca","Centro, Tunja, Centro historico",355.00  m2 m²,5,5,$1.900.000.000,3,¡Pregúntale!,,", Balcón, , Baño Auxiliar, , Chimenea, , Cocina Integral, , Colegios / Universidades, , Cuarto de Servicio, , Estudio, , Hall de Alcobas, , Instalación de gas, , Supermercados / C.Comerciales, , Trans. Público cercano, , Zona Comercial","VENDO PREDIO ESQUINERO,  CON USO DE SUELOS RESIDENCIAL,  COMERCIO,  SERVICIOS E INSTITUCIONAL,  EXCELENTES CONDICIONES,  CONSTRUCCION SISMORESISTENTE - DOBLE GARAJE. CONSTA DE LOCAL - OFICINA,  BAÑO,  CINCO ALCOBAS,  CUATRO BAÑOS,  CUARTO DE SERVICIO,  ESTUDIO,  ESTAR DE TV,  SALA COMEDOR CON CHIMENEA,  COCINA INTEGRAL,  JARDIN INTERIOR,  AREA DE ROPAS. NEGOCIABLE!!.",,6602890,Inmobiliaria Fenix,https://www.fincaraiz.com.co/casa-en-venta-en-centro-tunja/6602890,,
